 Сортировка Шелла (последовательность Пратта), Случайный, 50000, 8.10985 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 60000, 11.675 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 70000, 15.7433 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 80000, 20.5948 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 90000, 26.515 сек
 Сортировка Шелла (последовательность Пратта), Случайный, 100000, 31.8645 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 1000, 0.0015127 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 10000, 0.122091 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 20000, 0.473558 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 30000, 1.06169 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 40000, 1.87336 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 50000, 2.91819 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 60000, 4.20285 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 70000, 5.72158 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 80000, 7.60367 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 90000, 9.49036 сек
 Сортировка Шелла (последовательность Пратта), Почти отсортированный, 100000, 11.6176 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 1000, 0.0068395 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 10000, 0.646386 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 20000, 2.57378 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 30000, 5.76574 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 40000, 10.2175 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 50000, 15.9611 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 60000, 22.9086 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 70000, 31.4109 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 80000, 40.73 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 90000, 51.8802 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный в обратном порядке, 100000, 64.6532 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 1000, 0.0005185 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 10000, 0.0073952 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 20000, 0.016879 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 30000, 0.0272907 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 40000, 0.0387055 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 50000, 0.0503508 сек
